holiday,temp,rain_1h,snow_1h,clouds_all,date_time,traffic_volume,tag,monat,wochentag,stunde
Veterans Day,279.02,0,0,40,2015-11-11 04:00:00,881,15,11,3,4
Veterans Day,277.76,0,0,1,2015-11-11 06:00:00,6049,15,11,3,6
Veterans Day,276.62,0,0,1,2015-11-11 08:00:00,5409,15,11,3,8
Veterans Day,281.51,0,0,75,2015-11-11 10:00:00,4551,15,11,3,10
Veterans Day,283.79,0,0,75,2015-11-11 12:00:00,4776,15,11,3,12
Veterans Day,284.58,0,0,90,2015-11-11 14:00:00,5167,15,11,3,14
Veterans Day,284.08,0,0,90,2015-11-11 16:00:00,5310,15,11,3,16
Veterans Day,281.72,0,0,90,2015-11-11 18:00:00,3533,15,11,3,18
Veterans Day,281.42,0,0,90,2015-11-11 20:00:00,2340,15,11,3,20
Veterans Day,281.29,0,0,90,2015-11-11 22:00:00,1430,15,11,3,22
Veterans Day,280.72,0,0,90,2015-11-11 23:00:00,956,15,11,3,23
None,280.08,0,0,90,2015-11-12 01:00:00,293,16,11,4,1
None,280.15,0,0,90,2015-11-12 02:00:00,253,16,11,4,2
None,280.01,0,0,90,2015-11-12 04:00:00,872,16,11,4,4
None,278.89,0,0,90,2015-11-12 06:00:00,5719,16,11,4,6
None,278.22,0,0,90,2015-11-12 08:00:00,5789,16,11,4,8
None,277.15,0,0,90,2015-11-12 10:00:00,4688,16,11,4,10
None,277.51,0,0,75,2015-11-12 12:00:00,5445,16,11,4,12
None,278.09,0,0,90,2015-11-12 14:00:00,5500,16,11,4,14
None,277.95,0,0,90,2015-11-12 16:00:00,6794,16,11,4,16
None,277.8,0,0,90,2015-11-12 18:00:00,4655,16,11,4,18
None,276.42,0,0,90,2015-11-12 20:00:00,2924,16,11,4,20
None,276.44,0,0,90,2015-11-12 22:00:00,1775,16,11,4,22
None,276.42,0,0,90,2015-11-13 00:00:00,485,17,11,5,0
None,275.82,0,0,75,2015-11-13 02:00:00,257,17,11,5,2
None,274.87,0,0,1,2015-11-13 04:00:00,877,17,11,5,4
None,274.01,0,0,1,2015-11-13 06:00:00,5927,17,11,5,6
None,273.28,0,0,1,2015-11-13 08:00:00,5600,17,11,5,8
None,274.87,0,0,1,2015-11-13 10:00:00,4486,17,11,5,10
None,277.86,0,0,40,2015-11-13 12:00:00,4960,17,11,5,12
None,279.55,0,0,1,2015-11-13 14:00:00,5226,17,11,5,14
None,279.69,0,0,1,2015-11-13 16:00:00,6235,17,11,5,16
None,276.29,0,0,5,2015-11-13 18:00:00,4291,17,11,5,18
None,273.63,0,0,1,2015-11-13 20:00:00,2612,17,11,5,20
None,272.95,0,0,1,2015-11-13 22:00:00,1938,17,11,5,22
None,273.29,0,0,1,2015-11-13 23:00:00,1054,17,11,5,23
None,272.93,0,0,1,2015-11-14 01:00:00,717,18,11,6,1
None,273.41,0,0,1,2015-11-14 02:00:00,609,18,11,6,2
None,273.36,0,0,1,2015-11-14 03:00:00,427,18,11,6,3
None,274.65,0,0,1,2015-11-14 04:00:00,425,18,11,6,4
None,274.65,0,0,1,2015-11-14 06:00:00,1302,18,11,6,6
None,274.72,0,0,1,2015-11-14 08:00:00,3256,18,11,6,8
None,277.43,0,0,1,2015-11-14 10:00:00,4406,18,11,6,10
None,281.44,0,0,1,2015-11-14 12:00:00,5069,18,11,6,12
None,284.55,0,0,1,2015-11-14 13:00:00,4864,18,11,6,13
None,285.15,0,0,1,2015-11-14 14:00:00,5050,18,11,6,14
None,285.87,0,0,1,2015-11-14 16:00:00,5322,18,11,6,16
None,283.09,0,0,1,2015-11-14 18:00:00,4660,18,11,6,18
None,280.43,0,0,5,2015-11-14 20:00:00,2937,18,11,6,20
None,280.58,0,0,1,2015-11-14 22:00:00,3125,18,11,6,22
None,278.43,0,0,1,2015-11-15 00:00:00,1398,19,11,0,0
None,277.94,0,0,1,2015-11-15 02:00:00,678,19,11,0,2
None,277.29,0,0,1,2015-11-15 03:00:00,374,19,11,0,3
None,276.72,0,0,1,2015-11-15 04:00:00,304,19,11,0,4
None,277.01,0,0,1,2015-11-15 05:00:00,486,19,11,0,5
None,277.15,0,0,5,2015-11-15 06:00:00,842,19,11,0,6
None,277.01,0,0,1,2015-11-15 07:00:00,1218,19,11,0,7
None,279.22,0,0,5,2015-11-15 08:00:00,2033,19,11,0,8
None,281.08,0,0,1,2015-11-15 09:00:00,2969,19,11,0,9
None,283.69,0,0,1,2015-11-15 11:00:00,4334,19,11,0,11
None,286.65,0,0,1,2015-11-15 12:00:00,4674,19,11,0,12
None,288.42,0,0,5,2015-11-15 14:00:00,4642,19,11,0,14
None,289.44,0,0,1,2015-11-15 16:00:00,4727,19,11,0,16
None,285.51,0,0,1,2015-11-15 18:00:00,3661,19,11,0,18
None,283.42,0,0,1,2015-11-15 20:00:00,2483,19,11,0,20
None,282.93,0,0,75,2015-11-15 22:00:00,1395,19,11,0,22
None,284.79,0,0,90,2015-11-16 02:00:00,237,20,11,1,2
None,284.79,0,0,90,2015-11-16 03:00:00,307,20,11,1,3
None,284.42,0,0,90,2015-11-16 04:00:00,844,20,11,1,4
None,284.51,0,0,90,2015-11-16 05:00:00,2836,20,11,1,5
None,284.65,0,0,90,2015-11-16 07:00:00,6089,20,11,1,7
None,283.36,0,0,90,2015-11-16 09:00:00,4636,20,11,1,9
None,281.92,0,0,90,2015-11-16 11:00:00,4306,20,11,1,11
None,281.72,0,0,90,2015-11-16 13:00:00,4716,20,11,1,13
None,282.35,0,0,90,2015-11-16 17:00:00,5743,20,11,1,17
None,282.42,0,0,90,2015-11-16 19:00:00,2808,20,11,1,19
None,282.55,0,0,90,2015-11-16 21:00:00,2108,20,11,1,21
None,282.48,0,0,90,2015-11-16 23:00:00,888,20,11,1,23
None,282.42,0,0,90,2015-11-17 00:00:00,478,21,11,2,0
None,282.42,0,0,90,2015-11-17 02:00:00,273,21,11,2,2
None,282.69,0,0,90,2015-11-17 04:00:00,859,21,11,2,4
None,282.75,0,0,90,2015-11-17 06:00:00,5414,21,11,2,6
None,283.01,0,0,90,2015-11-17 08:00:00,5356,21,11,2,8
None,283.29,0,0,90,2015-11-17 09:00:00,5236,21,11,2,9
None,283.29,0,0,90,2015-11-17 10:00:00,4247,21,11,2,10
None,283.53,0,0,90,2015-11-17 12:00:00,4749,21,11,2,12
None,284.01,0,0,90,2015-11-17 14:00:00,4947,21,11,2,14
None,284.38,0,0,90,2015-11-17 16:00:00,6368,21,11,2,16
None,284.94,0,0,90,2015-11-17 18:00:00,4261,21,11,2,18
None,285.15,0,0,90,2015-11-17 20:00:00,2578,21,11,2,20
None,285.44,0,0,90,2015-11-17 22:00:00,1826,21,11,2,22
None,285.51,0,0,90,2015-11-18 00:00:00,543,22,11,3,0
None,285.86,0,0,90,2015-11-18 02:00:00,292,22,11,3,2
None,286.15,0,0,90,2015-11-18 04:00:00,901,22,11,3,4
None,286.76,0,0,90,2015-11-18 06:00:00,5773,22,11,3,6
None,286.43,0,0,75,2015-11-18 08:00:00,5944,22,11,3,8
None,285.28,0,0,75,2015-11-18 10:00:00,4568,22,11,3,10
None,284.22,0,0,90,2015-11-18 12:00:00,4908,22,11,3,12
None,283.15,0,0,90,2015-11-18 14:00:00,5020,22,11,3,14
None,281.22,0,0,90,2015-11-18 16:00:00,6341,22,11,3,16
None,279.22,0,0,90,2015-11-18 18:00:00,4550,22,11,3,18
None,278.69,0,0,90,2015-11-18 20:00:00,2777,22,11,3,20
None,278.95,0,0,90,2015-11-18 22:00:00,1529,22,11,3,22
None,276.49,0,0,90,2015-11-19 00:00:00,538,23,11,4,0
None,274.82,0,0,90,2015-11-19 02:00:00,271,23,11,4,2
None,273.09,0,0,40,2015-11-19 04:00:00,907,23,11,4,4
None,272.08,0,0,75,2015-11-19 06:00:00,5946,23,11,4,6
None,272.65,0,0,75,2015-11-19 08:00:00,5789,23,11,4,8
None,273.44,0,0,90,2015-11-19 10:00:00,4582,23,11,4,10
None,272.44,0,0,90,2015-11-19 12:00:00,5253,23,11,4,12
None,272.46,0,0,90,2015-11-19 14:00:00,5323,23,11,4,14
None,273.38,0,0,90,2015-11-19 16:00:00,6557,23,11,4,16
None,273.99,0,0,40,2015-11-19 18:00:00,4647,23,11,4,18
None,273.44,0,0,1,2015-11-19 20:00:00,2930,23,11,4,20
None,273.38,0,0,1,2015-11-19 22:00:00,2023,23,11,4,22
None,272.46,0,0,1,2015-11-19 23:00:00,1139,23,11,4,23
None,271.79,0,0,1,2015-11-20 01:00:00,372,24,11,5,1
None,270.87,0,0,1,2015-11-20 02:00:00,328,24,11,5,2
None,270.58,0,0,1,2015-11-20 03:00:00,367,24,11,5,3
None,269.92,0,0,1,2015-11-20 04:00:00,856,24,11,5,4
None,269.69,0,0,1,2015-11-20 05:00:00,2660,24,11,5,5
None,269.15,0,0,1,2015-11-20 07:00:00,6574,24,11,5,7
None,269.77,0,0,1,2015-11-20 09:00:00,5200,24,11,5,9
None,270.79,0,0,1,2015-11-20 11:00:00,5060,24,11,5,11
None,271.29,0,0,75,2015-11-20 12:00:00,5563,24,11,5,12
None,271.72,0,0,90,2015-11-20 15:00:00,6042,24,11,5,15
None,271.61,0,0,90,2015-11-20 17:00:00,6240,24,11,5,17
None,271.35,0,0,90,2015-11-20 19:00:00,3557,24,11,5,19
None,270.82,0,0,1,2015-11-20 21:00:00,2846,24,11,5,21
None,270.08,0,0,1,2015-11-20 23:00:00,1668,24,11,5,23
None,268.63,0,0,1,2015-11-21 00:00:00,1065,25,11,6,0
None,267.66,0,0,1,2015-11-21 01:00:00,671,25,11,6,1
None,265.75,0,0,1,2015-11-21 04:00:00,385,25,11,6,4
None,265.22,0,0,90,2015-11-21 06:00:00,1377,25,11,6,6
None,264.23,0,0,1,2015-11-21 08:00:00,3231,25,11,6,8
None,266.15,0,0,40,2015-11-21 10:00:00,4548,25,11,6,10
None,268.35,0,0,1,2015-11-21 12:00:00,4790,25,11,6,12
None,269.94,0,0,1,2015-11-21 13:00:00,4609,25,11,6,13
None,270.42,0,0,1,2015-11-21 14:00:00,4477,25,11,6,14
None,270.22,0,0,5,2015-11-21 16:00:00,4397,25,11,6,16
None,268.44,0,0,75,2015-11-21 18:00:00,4026,25,11,6,18
None,267.29,0,0,90,2015-11-21 20:00:00,2766,25,11,6,20
None,267.51,0,0,90,2015-11-21 22:00:00,4549,25,11,6,22
None,266.79,0,0,75,2015-11-22 00:00:00,1421,26,11,0,0
None,266.43,0,0,40,2015-11-22 01:00:00,791,26,11,0,1
None,266.36,0,0,40,2015-11-22 02:00:00,568,26,11,0,2
None,265.84,0,0,40,2015-11-22 04:00:00,299,26,11,0,4
None,265.77,0,0,40,2015-11-22 06:00:00,775,26,11,0,6
None,265.08,0,0,1,2015-11-22 08:00:00,1862,26,11,0,8
None,267.86,0,0,40,2015-11-22 10:00:00,3541,26,11,0,10
None,270.93,0,0,40,2015-11-22 12:00:00,4868,26,11,0,12
None,272.84,0,0,40,2015-11-22 13:00:00,4923,26,11,0,13
None,274,0,0,90,2015-11-22 15:00:00,4066,26,11,0,15
None,273.72,0,0,90,2015-11-22 17:00:00,3788,26,11,0,17
None,272.37,0,0,90,2015-11-22 19:00:00,3057,26,11,0,19
None,271.5,0,0,75,2015-11-22 21:00:00,1929,26,11,0,21
None,270.57,0,0,75,2015-11-22 23:00:00,897,26,11,0,23
None,270.22,0,0,90,2015-11-23 00:00:00,449,27,11,1,0
None,271.15,0,0,90,2015-11-23 02:00:00,274,27,11,1,2
None,272.114,0,0,92,2015-11-23 04:00:00,863,27,11,1,4
None,271.86,0,0,90,2015-11-23 06:00:00,5651,27,11,1,6
None,271.61,0,0,20,2015-11-23 08:00:00,5544,27,11,1,8
None,275.15,0,0,1,2015-11-23 10:00:00,4476,27,11,1,10
None,278.48,0,0,5,2015-11-23 12:00:00,4844,27,11,1,12
None,280.08,0,0,40,2015-11-23 13:00:00,4768,27,11,1,13
None,279.87,0,0,1,2015-11-23 15:00:00,5706,27,11,1,15
None,277.82,0,0,75,2015-11-23 17:00:00,6157,27,11,1,17
None,275.02,0,0,1,2015-11-23 19:00:00,3012,27,11,1,19
None,272.55,0,0,5,2015-11-23 21:00:00,2058,27,11,1,21
None,271.55,0,0,1,2015-11-23 23:00:00,1000,27,11,1,23
None,270.15,0,0,1,2015-11-24 00:00:00,523,28,11,2,0
None,270.09,0,0,1,2015-11-24 01:00:00,355,28,11,2,1
None,270.51,0,0,40,2015-11-24 03:00:00,337,28,11,2,3
None,271.86,0,0,90,2015-11-24 05:00:00,2711,28,11,2,5
None,272.53,0,0,40,2015-11-24 07:00:00,6709,28,11,2,7
None,272.72,0,0,1,2015-11-24 09:00:00,5074,28,11,2,9
None,276.15,0,0,1,2015-11-24 11:00:00,4595,28,11,2,11
None,279.51,0,0,1,2015-11-24 12:00:00,5015,28,11,2,12
None,279.86,0,0,1,2015-11-24 14:00:00,5399,28,11,2,14
None,280.15,0,0,40,2015-11-24 16:00:00,6471,28,11,2,16
None,277.49,0,0,1,2015-11-24 18:00:00,4461,28,11,2,18
None,276.72,0,0,20,2015-11-24 20:00:00,2843,28,11,2,20
None,275.94,0,0,1,2015-11-24 22:00:00,1884,28,11,2,22
None,275.15,0,0,1,2015-11-25 00:00:00,623,29,11,3,0
None,275.15,0,0,40,2015-11-25 01:00:00,436,29,11,3,1
None,275.15,0,0,1,2015-11-25 02:00:00,329,29,11,3,2
None,275.51,0,0,1,2015-11-25 04:00:00,886,29,11,3,4
None,277.01,0,0,90,2015-11-25 06:00:00,5431,29,11,3,6
None,278.01,0,0,1,2015-11-25 08:00:00,5181,29,11,3,8
None,280.01,0,0,75,2015-11-25 10:00:00,4722,29,11,3,10
None,282.51,0,0,90,2015-11-25 12:00:00,5551,29,11,3,12
None,282.94,0,0,90,2015-11-25 14:00:00,5923,29,11,3,14
None,281.96,0,0,90,2015-11-25 16:00:00,5966,29,11,3,16
None,279.87,0,0,90,2015-11-25 18:00:00,4120,29,11,3,18
None,278.73,0,0,90,2015-11-25 20:00:00,3419,29,11,3,20
None,278.08,0,0,75,2015-11-25 22:00:00,2264,29,11,3,22
Thanksgiving Day,277.22,0,0,90,2015-11-26 00:00:00,833,30,11,4,0
Thanksgiving Day,276.37,0,0,90,2015-11-26 02:00:00,377,30,11,4,2
Thanksgiving Day,275.72,0,0,90,2015-11-26 04:00:00,272,30,11,4,4
Thanksgiving Day,275.22,0,0,90,2015-11-26 06:00:00,827,30,11,4,6
Thanksgiving Day,274.55,0,0,90,2015-11-26 08:00:00,1194,30,11,4,8
